PDR Number,Date Received,Type,Item Requested,Person Received,Date due,Date Complete,Request Source
P2013-1833,6/6/2013,PDR,1970 HOMICIDE,COUNTER,7/10/2013,6/20/2013,Individual
P2013-1835,6/6/2013,PDR,ALL OPA DOCUMENTS,EMAIL,7/26/2013,7/26/2013,Individual
P2013-1839,6/6/2013,PDR,ALL OPA DOCUMENTS,EMAIL,6/13/2013,6/12/2013,Individual
P2013-1845,6/6/2013,PDR,13-138669,FAX,6/13/2013,6/12/2013,Attorney
P2013-1847,6/6/2013,PDR,13-116373,EMAIL,6/13/2013,6/13/2013,Attorney
P2013-1848,6/6/2013,PDR,13-179398,EMAIL,7/31/2013,7/25/2013,Attorney
P2013-1849,6/6/2013,PDR,13-161285,EMAIL,6/13/2013,6/13/2013,Individual
P2013-1844,6/7/2013,PDR,13-185906,EMAIL,6/14/2013,6/12/2013,Individual
P2013-1850,6/7/2013,PDR,RED LIGHT CAMERA PHOTO,EMAIL,6/14/2013,6/13/2013,Individual
P2013-1851,6/7/2013,PDR,"88-42721, 88-202224 & 89-141530",COUNTER,6/14/2013,6/14/2013,Individual
P2013-1852,6/7/2013,PDR,13-189998,COUNTER,6/14/2013,6/13/2013,Individual
P2013-1853,6/7/2013,PDR,13-190432,COUNTER,6/14/2013,6/13/2013,Individual
P2013-1854,6/7/2013,PDR,CALLS FOR SERVICES,COUNTER,6/14/2013,6/14/2013,Individual
P2013-1855,6/7/2013,PDR,CALLS FOR SERVICES,COUNTER,6/20/2013,6/18/2013,Individual
P2013-1856,6/7/2013,PDR,13-182263,MAIL,6/14/2013,6/13/2013,Individual
P2013-1857,6/7/2013,PDR,03-95000,MAIL,6/14/2013,6/26/2013,Inmate
P2013-1858,6/7/2013,PDR,ALL DOCUMENTS,MAIL,7/25/2013,7/24/2013,Inmate
P2013-1859,6/7/2013,PDR,12-165617,EMAIL,7/26/2013,7/24/2013,Attorney
P2013-1860,6/7/2013,PDR,CALLS FOR SERVICES,EMAIL,6/28/2013,6/26/2013,Individual
P2013-1861,6/7/2013,PDR,13-190001,EMAIL,6/14/2013,6/13/2013,Individual
P2013-1862,6/7/2013,PDR,13-163810,EMAIL,7/14/2013,7/15/2013,Attorney
P2013-1863,6/7/2013,PDR,13-32121,EMAIL,6/14/2013,6/12/2013,Attorney
P2013-1864,6/10/2013,PDR,PARKING COMPLAINT INFO,EMAIL,6/17/2013,6/14/2013,Individual
P2013-1865,6/10/2013,PDR,PHOTOS,EMAIL,6/17/2013,6/13/2013,Individual
P2013-1868,6/10/2013,PDR,13-194414,EMAIL,6/17/2013,6/14/2013,Individual
P2013-1870,6/10/2013,PDR,13-28798,COUNTER,6/24/2013,6/19/2013,Individual
P2013-1871,6/10/2013,PDR,13-67971,COUNTER,6/17/2013,6/14/2013,Individual
P2013-1872,6/10/2013,PDR,13-197159,EMAIL,6/17/2013,6/14/2013,Media
P2013-1873,6/10/2013,PDR,13-57328,COUNTER,6/17/2013,6/13/2013,Individual
P2013-1875,6/10/2013,PDR,12-208784,EMAIL,6/17/2013,6/14/2013,Individual
P2013-1876,6/10/2013,PDR,"RECORDS RE KALEBU, KOSEA & DENISE",EMAIL,8/12/2013,9/11/2013,Media
P2013-1877,6/10/2013,PDR,NARRATIVES/STAWICKI,EMAIL,7/12/2013,7/3/2013,Media
P2013-1878,6/10/2013,PDR,DOCS BTWN DET HANSEN & LAW OFFICES,EMAIL,7/24/2013,6/24/2013,Attorney
P2013-1879,6/10/2013,PDR,DOCS RE CITATIONS,EMAIL,6/17/2013,6/14/2013,Individual
P2013-1880,6/10/2013,PDR,13-185798,EMAIL,6/17/2013,6/14/2013,Attorney
P2013-1881,6/10/2013,PDR,13-189418,EMAIL,6/24/2013,6/19/2013,Media
P2013-1882,6/10/2013,PDR,06-348042,EMAIL,7/12/2013,7/9/2013,Individual
P2013-1883,6/10/2013,PDR,13-176730,EMAIL,6/17/2013,6/14/2013,Individual
P2013-2005,6/10/2013,PDR,12-231552,EMAIL,9/19/2013,9/6/2013,Attorney
P2013-1867,6/11/2013,PDR,06-486881,MAIL,6/17/2013,6/13/2013,Inmate
P2013-1869,6/11/2013,PDR,PERSONNEL FILE,MAIL,7/31/2013,7/29/2013,Inmate
P2013-1874,6/11/2013,PDR,12-406809,EMAIL,6/18/2013,6/14/2013,Attorney
P2013-1892,6/11/2013,PDR,13-194167,FAX,6/18/2013,6/14/2013,Individual
P2013-1893,6/11/2013,PDR,12-369572,FAX,6/18/2013,6/18/2013,Attorney
P2013-1894,6/11/2013,PDR,13-191410,EMAIL,6/18/2013,6/18/2013,Individual
P2013-1895,6/11/2013,PDR,13-196890 + 6 OTHERS,EMAIL,8/22/2013,8/20/2013,Attorney
P2013-1896,6/11/2013,PDR,13-200850,EMAIL,6/18/2013,6/13/2013,Individual
P2013-1897,6/11/2013,PDR,13-146724,EMAIL,6/18/2013,6/18/2013,Individual
P2013-1898,6/11/2013,PDR,04-95247,EMAIL,6/18/2013,6/13/2013,Individual
P2013-1899,6/11/2013,PDR,13-198451,EMAIL,6/18/2013,6/13/2013,Individual
P2013-1884,6/12/2013,PDR,04-64865,EMAIL,6/19/2013,6/13/2013,Attorney
P2013-1885,6/12/2013,PDR,"13-192540,13-94965,01-142747",EMAIL,8/7/2013,8/7/2013,Attorney
P2013-1886,6/12/2013,PDR,911 CALL FROM 206-979-9121,EMAIL,7/10/2013,7/7/2013,Individual
P2013-1887,6/12/2013,PDR,TERM SEARCHES & LOCATED RECORDS,EMAIL,12/4/2013,12/4/2013,Attorney
P2013-1888,6/12/2013,PDR,PHOTOS OF SWORN,EMAIL,7/31/2013,7/22/2013,Individual
P2013-1889,6/12/2013,PDR,MOBILE PHONE BILLING & METADATA,EMAIL,8/20/2013,8/20/2013,Individual
P2013-1890,6/12/2013,PDR,98-392368,EMAIL,6/19/2013,6/18/2013,Individual
P2013-1891,6/12/2013,PDR,BAC ROOM VIDEO,MAIL,7/24/2013,7/17/2013,Attorney
P2013-1905,6/12/2013,PDR,BAC ROOM VIDEO,EMAIL,6/19/2013,6/18/2013,Attorney
P2013-1906,6/12/2013,PDR,12-348655,EMAIL,6/19/2013,6/14/2013,Individual
P2013-1907,6/12/2013,PDR,13-157818,COUNTER,7/31/2013,8/1/2013,Individual
P2013-1908,6/12/2013,PDR,11-248165 & 12-340978,COUNTER,6/19/2013,6/14/2013,Individual
P2013-1909,6/12/2013,PDR,CAD CALLS FROM 6/08 - 6-13,COUNTER,7/10/2013,7/9/2013,Individual
P2013-1910,6/12/2013,PDR,13-83215,COUNTER,6/19/2013,6/18/2013,Attorney
P2013-1911,6/12/2013,PDR,13-11393,MAIL,7/31/2013,7/28/2013,Attorney
P2013-1912,6/12/2013,PDR,12-315611,FAX,6/19/2013,6/14/2013,Attorney
P2013-1913,6/12/2013,PDR,13-186504,FAX,7/10/2013,7/7/2013,Attorney
P2013-1914,6/12/2013,PDR,13-86059 & 13-113715,EMAIL,7/10/2013,7/9/2013,Attorney
P2013-1915,6/12/2013,PDR,ALL COLLISIONS (2006-PRESENT),EMAIL,9/12/2014,10/7/2014,Media
P2013-1916,6/12/2013,PDR,CAD,EMAIL,7/25/2013,7/25/2013,Attorney
P2013-1900,6/13/2013,PDR,ALL ACCOUNTING & ALLOCATION DOCUMENTATION,EMAIL,8/20/2013,8/20/2013,Individual
P2013-1901,6/13/2013,PDR,13-181019,EMAIL,6/20/2013,6/18/2013,Attorney
P2013-1902,6/13/2013,PDR,12-444766,EMAIL,8/8/2013,8/8/2013,Attorney
P2013-1903,6/13/2013,PDR,13-79325,EMAIL,6/27/2013,6/20/2013,Media
P2013-1904,6/13/2013,PDR,BAC ROOM VIDEO,EMAIL,6/20/2013,6/19/2013,Attorney
P2013-1917,6/13/2013,PDR,13-163810,COUNTER,6/20/2013,6/14/2013,Attorney
P2013-1918,6/13/2013,PDR,08-140033 & 11-10909,COUNTER,6/20/2013,6/14/2013,Individual
P2013-1922,6/13/2013,PDR,12-379372,EMAIL,6/20/2013,6/19/2013,Attorney
P2013-1923,6/13/2013,PDR,REPORTS & CFS,EMAIL,10/9/2013,10/8/2013,Individual
P2013-1924,6/13/2013,PDR,REPORTS & CFS,EMAIL,10/9/2013,10/8/2013,Individual
P2013-1925,6/13/2013,PDR,13-126364,EMAIL,8/8/2013,8/2/2013,Individual
P2013-1933,6/13/2013,PDR,13-195362,COUNTER,6/20/2013,6/19/2013,Individual
P2013-1934,6/13/2013,PDR,13-70409,MAIL,6/20/2013,6/18/2013,Attorney
P2013-1919,6/14/2013,PDR,13-197428,EMAIL,8/9/2013,8/2/2013,Individual
P2013-1920,6/14/2013,PDR,10-150940,EMAIL,8/9/2013,8/2/2013,Individual
P2013-1921,6/14/2013,PDR,12-340768,EMAIL,9/13/2013,9/2/2013,Attorney
P2013-1926,6/14/2013,PDR,13-194590,EMAIL,6/21/2013,6/19/2013,Individual
P2013-1927,6/14/2013,PDR,13-199622,EMAIL,6/21/2013,6/19/2013,Individual
P2013-1928,6/14/2013,PDR,13-198314,EMAIL,6/21/2013,6/19/2013,Individual
P2013-1929,6/14/2013,PDR,13-2913,EMAIL,8/9/2013,8/2/2013,Attorney
P2013-1930,6/14/2013,PDR,OPA FILE,EMAIL,9/13/2013,9/13/2013,Individual
P2013-1931,6/14/2013,PDR,OPA FILE,EMAIL,8/19/2013,8/13/2013,Individual
P2013-1932,6/14/2013,PDR,OPA FILE,EMAIL,8/12/2013,8/9/2013,Individual
P2013-1935,6/14/2013,PDR,LIST OF ALL OFFICERS ASSIGNED LIDAR DEVICES,MAIL,7/22/2013,7/23/2013,Attorney
P2013-1936,6/14/2013,PDR,CRIME STATES,EMAIL,7/19/2013,6/28/2013,Individual
P2013-1937,6/14/2013,PDR,10-225237 & 10-248603,MAIL,12/30/2013,8/28/2013,Inmate
P2013-1938,6/14/2013,PDR,13-79325,EMAIL,6/21/2013,6/20/2013,Media
P2013-1939,6/14/2013,PDR,13-27174,COUNTER,6/21/2013,6/18/2013,Attorney
P2013-1940,6/14/2013,PDR,13-137123,COUNTER,6/26/2013,6/24/2013,Individual
P2013-1941,6/14/2013,PDR,13-200065,COUNTER,6/21/2013,6/19/2013,Individual
P2013-1942,6/14/2013,PDR,13-155278,COUNTER,6/21/2013,6/20/2013,Attorney
P2013-1943,6/14/2013,PDR,ALL RECORDS,MAIL,7/19/2013,7/18/2013,Inmate
P2013-1944,6/14/2013,PDR,13-165986,EMAIL,9/10/2013,9/16/2013,Individual
P2013-1945,6/14/2013,PDR,13-184274,EMAIL,8/12/2013,8/12/2013,Attorney
P2013-1946,6/14/2013,PDR,12-181184 & 13-183582,COUNTER,6/21/2013,6/20/2013,Individual
P2013-1947,6/14/2013,PDR,11-254373,COUNTER,6/21/2013,6/19/2013,Individual
P2013-1948,6/17/2013,PDR,BAC ROOM VIDEO,MAIL,6/24/2013,6/24/2013,Attorney
P2013-1949,6/17/2013,PDR,12-320053,EMAIL,7/24/2013,7/4/2013,Attorney
P2013-1950,6/17/2013,PDR,13-194282,EMAIL,7/8/2013,7/3/2013,Media
P2013-1951,6/17/2013,PDR,13-169261 & 13-20983,EMAIL,6/24/2013,6/21/2013,Attorney
P2013-1952,6/17/2013,PDR,13-169261,EMAIL,6/24/2013,6/21/2013,Attorney
P2013-1953,6/17/2013,PDR,91-382481,COUNTER,6/24/2013,6/21/2013,Individual
P2013-1954,6/17/2013,PDR,00-447389,MAIL,6/24/2013,6/24/2013,Inmate
P2013-1955,6/17/2013,PDR,13-187683,FAX,7/15/2013,7/15/2013,Attorney
P2013-1956,6/17/2013,PDR,13-199756,EMAIL,6/24/2013,6/21/2013,Individual
P2013-1957,6/17/2013,PDR,13-178379,COUNTER,7/8/2013,7/3/2013,Individual
P2013-1958,6/17/2013,PDR,13-105189,COUNTER,6/24/2013,6/21/2013,Individual
P2013-1959,6/17/2013,PDR,11-211810,COUNTER,6/24/2013,6/20/2013,Individual
P2013-1960,6/17/2013,PDR,13-191782,FAX,8/12/2013,8/11/2013,Attorney
P2013-1963,6/17/2013,PDR,13-189463,COUNTER,6/24/2013,6/19/2013,Individual
P2013-1961,6/18/2013,PDR,13-133318,MAIL,7/23/2013,7/23/2013,Attorney
P2013-1962,6/18/2013,PDR,13-193441,COUNTER,7/23/2013,7/1/2013,Individual
P2013-1964,6/18/2013,PDR,13-203762,COUNTER,6/25/2013,6/25/2013,Individual
P2013-1965,6/18/2013,PDR,13-117256,FAX,7/16/2013,7/14/2013,Attorney
P2013-1966,6/18/2013,PDR,13-147974,MAIL,7/23/2013,7/15/2013,Attorney
P2013-1967,6/18/2013,PDR,13-128628,COUNTER,6/25/2013,6/25/2013,Individual
P2013-1968,6/18/2013,PDR,12-79325,EMAIL,6/25/2013,6/25/2013,Attorney
P2013-1969,6/18/2013,PDR,13-162275,FAX,6/25/2013,6/24/2013,Attorney
P2013-1970,6/18/2013,PDR,13-163810 & 13-160024,EMAIL,8/22/2013,7/28/2013,Attorney
P2013-1971,6/18/2013,PDR,13-206740,EMAIL,6/25/2013,6/25/2013,Individual
P2013-1972,6/18/2013,PDR,13-151674,EMAIL,6/25/2013,6/25/2013,Attorney
P2013-1973,6/18/2013,PDR,RECORDS,EMAIL,6/25/2013,6/25/2013,Individual
P2013-1974,6/18/2013,PDR,STATS,EMAIL,6/25/2013,6/19/2013,Media
P2013-1975,6/18/2013,PDR,13-210122,EMAIL,6/24/2013,6/21/2013,Individual
P2013-1976,6/18/2013,PDR,12-417363,EMAIL,8/12/2013,8/7/2013,Individual
P2013-1977,6/19/2013,PDR,-,EMAIL,7/17/2013,7/16/2013,Attorney
P2013-1980,6/19/2013,PDR,09-190568,MAIL,6/26/2013,6/25/2013,Individual
P2013-1981,6/19/2013,PDR,10-423218,MAIL,6/26/2013,6/26/2013,Individual
P2013-1982,6/19/2013,PDR,ALL DOCUMENTS,MAIL,8/24/2013,10/2/2013,Attorney
P2013-1983,6/19/2013,PDR,URBAN AREA SECURITY INITIATIVE STRATAGY,EMAIL,11/27/2013,11/26/2013,Individual
P2013-1984,6/19/2013,PDR,13-206740,EMAIL,7/17/2013,7/14/2013,Individual
P2013-1987,6/19/2013,PDR,05-204465,MAIL,8/7/2013,7/29/2013,Inmate
P2013-1989,6/19/2013,PDR,13-208740,EMAIL,6/26/2013,6/25/2013,Individual
P2013-1978,6/20/2013,PDR,ARREST REPORTS,COUNTER,6/27/2013,6/26/2013,Individual
P2013-1979,6/20/2013,PDR,13-204428,FAX,6/27/2013,6/24/2013,Attorney
P2013-1985,6/20/2013,PDR,ALL REPORTS & 911 CALLS,EMAIL,8/1/2013,8/1/2013,Individual
P2013-1986,6/20/2013,PDR,SPD CONTRACT AGREEMENT / INFO REGARDING ATS,EMAIL,6/27/2013,6/24/2013,Individual
P2013-1988,6/20/2013,PDR,13-164029,EMAIL,7/11/2013,7/12/2013,Attorney
P2013-1990,6/20/2013,PDR,ACCIDENT REPORTS,EMAIL,8/8/2013,8/8/2013,Individual
P2013-1991,6/20/2013,PDR,13-202471,EMAIL,6/27/2013,6/25/2013,Individual
P2013-1992,6/20/2013,PDR,13-208783,MAIL,8/15/2013,8/14/2013,Attorney
P2013-1994,6/20/2013,PDR,12-244353,EMAIL,6/27/2013,6/25/2013,Individual
P2013-1995,6/20/2013,PDR,OFFICER/DV STATS,EMAIL,8/7/2013,8/1/2013,Media
P2013-1996,6/20/2013,PDR,12-340768,EMAIL,9/13/2013,9/6/2013,Attorney
P2013-1997,6/20/2013,PDR,13-203216,EMAIL,6/27/2013,6/27/2013,Attorney
P2013-2000,6/20/2013,PDR,"12-33691, 13-166171, 13-185527",FAX,6/27/2013,6/25/2013,Individual
P2013-2001,6/20/2013,PDR,BAC ROOM VIDEO,EMAIL,7/23/2013,6/28/2013,Attorney
P2013-1993,6/21/2013,PDR,PHOTO ENFORCEMENT CAMERA INFO,COUNTER,7/19/2013,7/18/2013,Individual
P2013-1998,6/21/2013,PDR,03-513207,EMAIL,6/28/2013,6/25/2013,Individual
P2013-2002,6/21/2013,PDR,RED LIGHT CAMERA INFO/FOOTAGE,EMAIL,6/28/2013,6/25/2013,Individual
P2013-2003,6/21/2013,PDR,13-205616,EMAIL,6/28/2013,6/25/2013,Individual
P2013-2004,6/21/2013,PDR,OPA # 13-0062,MAIL,7/22/2013,7/12/2013,Individual
P2013-2006,6/21/2013,PDR,13-15766,EMAIL,6/28/2013,6/25/2013,Individual
P2013-2007,6/21/2013,PDR,-,EMAIL,7/26/2013,7/23/2013,Attorney
P2013-2008,6/21/2013,PDR,12-183266,EMAIL,7/15/2013,7/12/2013,Individual
P2013-2009,6/21/2013,PDR,13-208731,COUNTER,6/28/2013,6/25/2013,Individual
P2013-2010,6/21/2013,PDR,13-191481,FAX,8/16/2013,8/16/2013,Attorney
P2013-2011,6/24/2013,PDR,13-102107,MAIL,9/4/2013,9/5/2013,Attorney
P2013-2012,6/24/2013,PDR,13-196699,FAX,8/12/2013,8/11/2013,Attorney
P2013-2013,6/24/2013,PDR,04-295635,FAX,7/1/2013,6/30/2013,Attorney
P2013-2014,6/24/2013,PDR,12-130417,EMAIL,8/19/2013,8/19/2013,Attorney
P2013-2015,6/24/2013,PDR,13-212974,EMAIL,7/1/2013,6/25/2013,Individual
P2013-2016,6/24/2013,PDR,13-121651,EMAIL,7/15/2013,7/14/2013,Attorney
P2013-2017,6/24/2013,PDR,13-214776,EMAIL,7/1/2013,6/30/2013,Individual
P2013-2018,6/24/2013,PDR,911 CALL,EMAIL,7/15/2013,7/12/2013,Individual
P2013-2019,6/24/2013,PDR,13-216569,MAIL,7/1/2013,6/25/2013,Individual
P2013-2020,6/24/2013,PDR,DOCUMENTATION,MAIL,8/23/2013,8/23/2013,Individual
P2013-2021,6/24/2013,PDR,INCIDENT REPORTS,COUNTER,7/1/2013,6/30/2013,Individual
P2013-2023,6/24/2013,PDR,INCIDENT REPORTS,EMAIL,7/1/2013,6/30/2013,Attorney
P2013-2025,6/24/2013,PDR,ARREST RECORD,COUNTER,7/8/2013,7/8/2013,Individual
P2013-2026,6/24/2013,PDR,ARREST REPORT,COUNTER,7/8/2013,7/8/2013,Individual
P2013-2027,6/24/2013,PDR,13-163894,COUNTER,7/1/2013,6/30/2013,Individual
P2013-2028,6/24/2013,PDR,13-214608,EMAIL,7/1/2013,6/26/2013,Individual
P2013-2029,6/24/2013,PDR,-,EMAIL,7/22/2013,7/22/2013,Individual
P2013-2030,6/24/2013,PDR,13-160878,COUNTER,7/1/2013,6/26/2013,Individual
P2013-2031,6/24/2013,PDR,13-213188,EMAIL,7/1/2013,6/26/2013,Attorney
P2013-2032,6/24/2013,PDR,INCIDENT REPORT,EMAIL,7/1/2013,6/26/2013,Attorney
P2013-2022,6/25/2013,PDR,SDOT DOCUMENTS,EMAIL,7/27/2013,7/23/2013,Individual
P2013-2024,6/25/2013,PDR,BAC/SURROUNDING AREA VIDEO,MAIL,7/23/2013,7/23/2013,Attorney
P2013-2033,6/25/2013,PDR,RECORDS,EMAIL,9/3/2013,8/28/2013,Individual
P2013-2034,6/25/2013,PDR,12-130651,COUNTER,7/2/2013,6/30/2013,Individual
P2013-2035,6/25/2013,PDR,12-332411,EMAIL,7/2/2013,6/30/2013,Attorney
P2013-2036,6/25/2013,PDR,08-404812,EMAIL,7/2/2013,6/30/2013,Individual
P2013-2037,6/25/2013,PDR,12-195835,FAX,7/2/2013,7/1/2013,Attorney
P2013-2038,6/25/2013,PDR,13-219303,COUNTER,7/2/2013,6/30/2013,Individual
P2013-2039,6/25/2013,PDR,13-136828,COUNTER,7/2/2013,6/30/2013,Individual
P2013-2040,6/25/2013,PDR,13-212578,COUNTER,7/2/2013,6/30/2013,Individual
P2013-2041,6/25/2013,PDR,911 CALLS,COUNTER,7/2/2013,7/2/2013,Individual
P2013-2042,6/25/2013,PDR,INCIDENT REPORTS,MAIL,7/2/2013,6/30/2013,Individual
P2013-2043,6/25/2013,PDR,INCIDENT REPORT,COUNTER,7/23/2013,7/23/2013,Individual
P2013-2044,6/25/2013,PDR,911 CALL,MAIL,8/6/2013,8/7/2013,Individual
P2013-2045,6/25/2013,PDR,13-198453,FAX,9/30/2013,9/27/2013,Attorney
P2013-2047,6/25/2013,PDR,CRIME DATA,EMAIL,8/1/2013,7/9/2013,Individual
P2013-2048,6/25/2013,PDR,13-188424,EMAIL,7/2/2013,6/27/2013,Attorney
P2013-2049,6/25/2013,PDR,13-193190,FAX,8/13/2013,8/10/2013,Attorney
P2013-2050,6/25/2013,PDR,13-145694,COUNTER,7/2/2013,7/1/2013,Individual
P2013-2051,6/25/2013,PDR,13-216904,COUNTER,7/2/2013,6/30/2013,Agency
P2013-2052,6/25/2013,PDR,13-178423,COUNTER,7/16/2013,7/16/2013,Individual
P2013-2053,6/25/2013,PDR,13-192940,MAIL,7/2/2013,7/1/2013,Attorney
P2013-2054,6/25/2013,PDR,11-236933,EMAIL,7/2/2013,6/30/2013,Individual
P2013-2055,6/25/2013,PDR,13-202499,COUNTER,7/2/2013,6/30/2013,Individual
P2013-2056,6/25/2013,PDR,13-69930,FAX,8/13/2013,8/10/2013,Attorney
P2013-2046,6/26/2013,PDR,13-190081,EMAIL,7/3/2013,7/2/2013,Individual
P2013-2057,6/26/2013,PDR,13-200087,MAIL,8/28/2013,8/26/2013,Individual
P2013-2058,6/26/2013,PDR,09-55927,MAIL,7/3/2013,6/30/2013,Individual
P2013-2059,6/26/2013,PDR,12-443983,MAIL,7/3/2013,6/30/2013,Individual
P2013-2060,6/26/2013,PDR,IN CAR VIDEO,COUNTER,7/31/2013,8/1/2013,Individual
P2013-2061,6/26/2013,PDR,08-407478,EMAIL,7/29/2013,7/29/2013,Attorney
P2013-2063,6/26/2013,PDR,10-330080,COUNTER,8/21/2013,8/7/2013,Individual
P2013-2064,6/26/2013,PDR,Dec-2862,FAX,8/22/2013,8/19/2013,Attorney
P2013-2065,6/26/2013,PDR,RECORDS,EMAIL,7/10/2013,7/8/2013,Individual
P2013-2066,6/26/2013,PDR,13-23354,EMAIL,7/3/2013,7/1/2013,Individual
P2013-2067,6/26/2013,PDR,12-372361,EMAIL,7/3/2013,7/2/2013,Attorney
P2013-2068,6/26/2013,PDR,13-194885,EMAIL,7/3/2013,7/2/2013,Individual
P2013-2069,6/26/2013,PDR,13-220230,EMAIL,7/3/2013,7/2/2013,Individual
P2013-2070,6/26/2013,PDR,13-134670,COUNTER,7/10/2013,7/8/2013,Individual
P2013-2071,6/26/2013,PDR,13-176025,EMAIL,11/5/2013,9/23/2013,Attorney
P2013-2072,6/26/2013,PDR,13-220386,EMAIL,7/3/2013,7/2/2013,Individual
P2013-2073,6/26/2013,PDR,13-220386,EMAIL,7/3/2013,7/2/2013,Individual
P2013-2074,6/26/2013,PDR,13-181834,EMAIL,7/10/2013,7/7/2013,Attorney
P2013-2062,6/27/2013,PDR,13-217957,EMAIL,9/12/2013,9/12/2013,Media
P2013-2075,6/27/2013,PDR,09-97701,EMAIL,7/5/2013,6/28/2013,Attorney
P2013-2076,6/27/2013,PDR,13-220768,COUNTER,7/5/2013,7/3/2013,Individual
P2013-2078,6/27/2013,PDR,13-29206,EMAIL,8/29/2013,8/29/2013,Attorney
P2013-2084,6/27/2013,PDR,13-172388,COUNTER,7/5/2013,7/8/2013,Individual
P2013-2077,6/28/2013,PDR,CITY QUESTIONS & AGREEMENTS,EMAIL,7/8/2013,7/2/2013,Individual
P2013-2079,6/28/2013,PDR,STATEMENTS FROM 1917 HOMICIDE,EMAIL,8/6/2013,7/29/2013,Individual
P2013-2080,6/28/2013,PDR,13-216569,EMAIL,7/8/2013,7/8/2013,Attorney
P2013-2081,6/28/2013,PDR,CFS - ADDRESSES,EMAIL,9/4/2013,8/5/2013,Individual
P2013-2082,6/28/2013,PDR,13-166014,MAIL,7/22/2013,7/22/2013,Attorney
P2013-2083,6/28/2013,PDR,13-133682,EMAIL,7/8/2013,7/4/2013,Individual
P2013-2085,6/28/2013,PDR,"CFS - ACCIDENTS, PTCRS",EMAIL,9/30/2013,9/24/2013,Attorney
P2013-2086,6/28/2013,PDR,13-203532,FAX,7/22/2013,7/22/2013,Attorney
P2013-2087,6/28/2013,PDR,13-113935,EMAIL,7/15/2013,7/12/2013,Attorney
P2013-2088,6/28/2013,PDR,12-74569,EMAIL,8/6/2013,8/1/2013,Attorney
P2013-2089,7/1/2013,PDR,INFORMATION,EMAIL,7/9/2013,7/2/2013,Individual
P2013-2090,7/1/2013,PDR,13-221238,EMAIL,7/9/2013,7/9/2013,Individual
P2013-2091,7/1/2013,PDR,ALL RECORDS,EMAIL,7/9/2013,7/8/2013,Attorney
P2013-2092,7/1/2013,PDR,MARIJUANA QUARTERLY REPORT,EMAIL,12/5/2013,10/29/2013,Media
P2013-2093,7/1/2013,PDR,13-226207,COUNTER,7/9/2013,7/9/2013,Individual
P2013-2094,7/1/2013,PDR,13-217161,COUNTER,7/9/2013,7/9/2013,Individual
P2013-2095,7/1/2013,PDR,12-363862,COUNTER,7/9/2013,7/7/2013,Individual
P2013-2096,7/1/2013,PDR,12-258128,COUNTER,7/9/2013,7/9/2013,Individual
P2013-2097,7/1/2013,PDR,12-346520,COUNTER,7/9/2013,7/8/2013,Individual
P2013-2098,7/1/2013,PDR,12-202418,COUNTER,7/9/2013,7/7/2013,Individual
P2013-2099,7/1/2013,PDR,11-97236,COUNTER,7/9/2013,7/7/2013,Individual
P2013-2100,7/1/2013,PDR,08-344115,COUNTER,7/9/2013,7/7/2013,Individual
P2013-2102,7/1/2013,PDR,13-104181,MAIL,7/9/2013,7/7/2013,Attorney
P2013-2103,7/1/2013,PDR,13-223616,EMAIL,7/9/2013,7/5/2013,Individual
P2013-2105,7/1/2013,PDR,13-217717,EMAIL,8/20/2013,8/14/2013,Attorney
P2013-2106,7/1/2013,PDR,13-104975,EMAIL,8/8/2013,8/6/2013,Attorney
P2013-2107,7/1/2013,PDR,17 PG DOCUMENT RELATED TO P2013-1784,EMAIL,7/9/2013,7/9/2013,Individual
P2013-2149,7/1/2013,PDR,ACCIDENT REPORT,EMAIL,8/1/2013,8/1/2013,Individual
P2013-2101,7/2/2013,PDR,ICV INFORMATION,COUNTER,7/24/2013,7/23/2013,Individual
P2013-2104,7/2/2013,PDR,"CFS, INCIDENT REPORTS, F/U & 911 CALLS",COUNTER,8/7/2013,8/6/2013,Individual
P2013-2108,7/2/2013,PDR,RECORDS,MAIL,8/22/2013,7/11/2013,Attorney
P2013-2109,7/2/2013,PDR,REPORTS & 911 CALLS,COUNTER,7/10/2013,7/10/2013,Individual
P2013-2110,7/2/2013,PDR,13-215177,MAIL,7/29/2013,7/28/2013,Attorney
P2013-2111,7/2/2013,PDR,10-177070,COUNTER,7/10/2013,7/9/2013,Individual
P2013-2112,7/2/2013,PDR,10-330080,MAIL,7/10/2013,8/11/2013,Individual
P2013-2113,7/2/2013,PDR,"13-195595, 13-132754, 13-197969",EMAIL,8/12/2013,8/12/2013,Individual
P2013-2114,7/2/2013,PDR,13-230931,EMAIL,7/10/2013,7/10/2013,Individual
P2013-2120,7/2/2013,PDR,13-223237,COUNTER,7/10/2013,7/7/2013,Individual
P2013-2121,7/2/2013,PDR,13-162275,EMAIL,7/10/2013,7/9/2013,Attorney
P2013-2122,7/2/2013,PDR,13-229451,EMAIL,7/10/2013,7/9/2013,Individual
P2013-2123,7/2/2013,PDR,09-155926,EMAIL,7/10/2013,7/7/2013,Individual
P2013-2124,7/2/2013,PDR,11-145931,COUNTER,7/10/2013,7/7/2013,Individual
P2013-2125,7/2/2013,PDR,REPORTS & 911 CALLS,COUNTER,7/10/2013,7/10/2013,Individual
P2013-2126,7/2/2013,PDR,911 CALL,COUNTER,8/21/2013,8/21/2013,Individual
